"keywords","budget","genres","original_language","overview","production_companies","production_countries","runtime","title","rating"
"exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga","140000000","Adventure, Fantasy, Action","en","Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.","Walt Disney Pictures, Jerry Bruckheimer Films","United States of America","143.0","Pirates of the Caribbean: The Curse of the Black Pearl","7.5"
"japan, coma, martial arts, kung fu, underworld, yakuza, sword, bride, revenge, gore, female yakuza, blood, wedding, samurai sword, part animation","30000000","Action, Crime","en","An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle вЂ“ but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.","Miramax Films, A Band Apart, Super Cool ManChu","United States of America","111.0","Kill Bill: Vol. 1","7.7"
"sniper, marine corps, saudi arabia, petrol, golf war, u.s. marine","72000000","Drama, War","en","Jarhead is a film about a US Marine Anthony SwoffordвЂ™s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.","Universal Pictures, Neal Street Productions, Red Wagon Entertainment, Motion Picture KAPPA Produktionsgesellschaft","Germany, United States of America","125.0","Jarhead","6.6"
"berlin, neo-nazi, israel, nazi background, chauffeur, mossad, middle east conflict, dead sea, anti semitism, kibbutz, nazi germany, suicide mission","1400000","Drama","he","Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country during which, Axel challenges Eyal's values.","Lama Films, United King Films","Israel, Sweden","103.0","Walk on Water","6.5"
"london england, female nudity, sex, rock and roll, blow job, condom, safe sex, concert, erection, fellatio, pubic hair, sexual fantasy, penetration, sexual intercourse, ejaculation, unsimulated sex, couple, desire, semen, vulva, male orgasm, penis, explicit sex","1000000","Drama, Music, Romance","en","Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.","Revolution Films","United Kingdom","66.0","9 Songs","5.1"
"guerrilla, river, vietnam, vietcong, cambodia, army, insanity, tribe, green beret, jungle, apocalypse, death, napalm","31500000","Drama, War","en","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","United Artists, Zoetrope Studios","United States of America","153.0","Apocalypse Now","8.0"
"space marine, future, reality, magnetic field, garbageman , photographic memory, opera singer, emotions, space centre","0","Animation, Science Fiction","ja","Koji MorimatoвЂ™s animated science fiction short story about how the boarder between reality and illusion on a space station become blurry.","Studio 4В°C","Japan","44.0","Magnetic Rose","7.9"
"prostitute, sheriff, bounty, regret, right and justice, revenge, mutilation, one last job, reputation, englishman","14000000","Western","en","William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.","Malpaso Productions, Warner Bros.","United States of America","131.0","Unforgiven","7.7"
"father son relationship, lake, springfield, the simpsons, duff beer, garbage, pig, pollution, environmental protection agency, quarantine, alcoholism, love, alaska, dysfunctional family, dysfunctional marriage, ecology, saving lives, first love, duringcreditsstinger, donuts","75000000","Animation, Comedy, Family","en","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","Gracie Films, Twentieth Century Fox Film Corporation","United States of America","87.0","The Simpsons Movie","6.9"
"deja vu, regret, jealousy, amnesia, dream, operation, relationship problems, love, memory, brainwashing, relationship, heartbreak, nonlinear timeline, love story, bittersweet","20000000","Science Fiction, Drama, Romance","en","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.","Anonymous Content, This Is That Productions, Focus Features","United States of America","108.0","Eternal Sunshine of the Spotless Mind","7.9"
"witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger","200000000","Adventure, Fantasy, Action","en","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions","United States of America","151.0","Pirates of the Caribbean: Dead Man's Chest","7.0"
"robbery, double life, dual identity, small town, indiana, distrust, fight, self-defense, marriage, family relationships, mistaken identity, diner, lawyer, mobster, violence, attempted robbery","32000000","Drama, Thriller, Crime","en","An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.","New Line Cinema, DC Comics, BenderSpink","United States of America, Canada, Germany","96.0","A History of Violence","6.9"
"moon, jupiter, artificial intelligence, man vs machine, technology, super computer, human being, space travel, space mission, moon base, astronaut, evolution, monolith, space station","10500000","Science Fiction, Mystery, Adventure","en","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","Stanley Kubrick Productions, Metro-Goldwyn-Mayer (MGM)","United States of America, United Kingdom","149.0","2001: A Space Odyssey","7.9"
"schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean","29500000","Science Fiction, Thriller, Mystery","en","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","Universal Pictures, Atlas Entertainment, Classico","United States of America","129.0","Twelve Monkeys","7.4"
"suicide, spain, rape, coma, bullfight, torera, journalist, sexual abuse, dying and death, theatre milieu, friendship, car crash, hospital, pregnancy","9285469","Drama, Romance","es","Two men share an odd friendship while they care for two women who are both in deep comas.","VГ­a Digital, Good Machine, El Deseo S.A., Antena 3 TelevisiГіn","Spain","112.0","Talk to Her","7.5"
"individual, street gang, adolescence, rap music, hip-hop, rhyme battle, trailer park, ethnic stereotype, single, detroit, eminem","41000000","Drama","en","The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.","Imagine Entertainment, Mikona Productions GmbH & Co. KG","United States of America","110.0","8 Mile","6.8"
"corruption, assassination, washington d.c., rape, white house, usa president, daughter, government, suspense, secret service, secret service agent","50000000","Crime, Drama, Thriller","en","A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.","Columbia Pictures, Castle Rock Entertainment, Malpaso Productions","United States of America","121.0","Absolute Power","6.4"
"individual, terror, civil war, israel, palestine, middle east, muslim, middle east conflict, friendship, suicide mission, unemployment","0","Thriller, Crime, Drama","en","Paradise Now is filmed from the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel. This is the first film to deal with the subject of suicide bombers.","Lama Films, Augustus Film, Lama Productions, Lumer Films, Hazazah Film, Filmstiftung Nordrhein-Westfalen, Razor Film Produktion GmbH, Eurimages, Nederlands Fonds voor de Film, Arte France CinГ©ma, Medienboard Berlin-Brandenburg","Palestinian Territory, France, Germany, Israel, Netherlands","90.0","Paradise Now","6.9"
"bureaucracy, police state, terror, great britain, dream, dystopia, government, anarchic comedy","15000000","Comedy, Science Fiction","en","Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.","Embassy International Pictures","United Kingdom","132.0","Brazil","7.6"
"germany, prison, music record, adultery, country music, guitar, loss of brother, concert, marriage, single, accident, 1960s","28000000","Drama, Music, Romance","en","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.","Tree Line Films, Konrad Pictures, Catfish Productions, Fox 2000 Pictures, Mars Media Beteiligungs","Germany, United States of America","136.0","Walk the Line","7.3"
"transporter, suicide attempt, strong woman, boxer, dying and death, stroke of fate, training, advancement, sport, female protagonist, boxing trainer, determination","30000000","Drama","en","Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.","Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions","United States of America","132.0","Million Dollar Baby","7.7"
"workers' quarter, dancing class, strike, northern england, scholarship, ballet","5000000","Drama, Comedy, Music","en","Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!","BBC Films, Tiger Aspect Productions, StudioCanal, Arts Council of England, Working Title Films, WT2 Productions","France, United Kingdom","110.0","Billy Elliot","7.4"
"usa, neo-nazi, prison, skinhead, brother brother relationship, rape, fascism, brother, basketball, jail, school, swastika, los angeles, family, hate, neo nazism, xenophobia, interracial friendship, nazism, prison rape","20000000","Drama","en","Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.","New Line Cinema, The Turman-Morrissey Company, Savoy Pictures","United States of America","119.0","American History X","8.2"
"post traumatic stress  disorder, new jersey, airplane, dystopia, daughter, apocalypse, alien invasion, human subjugation","132000000","Adventure, Thriller, Science Fiction","en","Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.","Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment","United States of America","116.0","War of the Worlds","6.2"
"saving the world, total destruction, white house, mars, usa president, cataclysm, lasergun, ambassador, congress, pest, flying saucer","70000000","Comedy, Fantasy, Science Fiction","en","'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alienвЂ™s fun and games in this comedy homage to science fiction films of the '50s and '60s.","Tim Burton Productions","United States of America","106.0","Mars Attacks!","6.1"
"dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna","2500000","Drama, Romance","en","A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.","Detour Film Production, Warner Bros.","Austria, Switzerland, United States of America","105.0","Before Sunrise","7.7"
"individual, insulin, tattoo, waitress, amnesia, motel, insurance salesman, revenge, memory loss, polaroid, flashback, neo-noir","9000000","Mystery, Thriller","en","Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.","Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions","United States of America","113.0","Memento","8.1"
"artificial intelligence, bounty hunter, dystopia, genetics, fugitive, cyberpunk, los angeles, tech noir, neo-noir, futurista, lluvia","28000000","Science Fiction, Drama, Thriller","en","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","Shaw Brothers, Warner Bros., The Ladd Company","United States of America, Hong Kong, United Kingdom","117.0","Blade Runner","7.9"
"countryside, loss of lover, right and justice, patriot","31000000","Drama, Adventure, Action, History","zh","One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.","Beijing New Picture Film Co. Ltd., China Film Co-Production Corporation","China","99.0","Hero","7.3"
"paris, journalist, dialogue, talking, soulmates, walking, bookshop, love of one's life, author","2700000","Drama, Romance","en","Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.","Castle Rock Entertainment, Detour Film Production, Warner Independent Pictures (WIP)","United States of America","80.0","Before Sunset","7.6"
"saving the world, human vs nature, fungus spores   , future, airplane, post-apocalyptic, war, toxic, based on manga, ecology, giant insect, duringcreditsstinger, anime","1000000","Adventure, Animation, Fantasy","ja","After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.","Topcraft","Japan","117.0","NausicaГ¤ of the Valley of the Wind","7.7"
"based on tv series, drug deal, havana cuba, speedboat ","135000000","Action, Adventure, Crime, Thriller","en","Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.","Universal Pictures, Forward Pass, Motion Picture ETA Produktionsgesellschaft, Foqus Arte Digital, Metropolis Films","Uruguay, United States of America, Germany, Paraguay","134.0","Miami Vice","5.7"
"diving, cataclysm, nightmare, panic, red sea, primal fear, scuba diving, shark, scuba","130000","Drama, Thriller","en","Two divers are left out at sea without a boat. ThereвЂ™s nothing but water for miles, unless they look at whatвЂ™s underneath them...","Plunge Pictures LLC","United States of America","79.0","Open Water","5.3"
"saving the world, riddle, nepal, himalaya, cairo, moses, egypt, whip, treasure, medallion, leather jacket, nazis, hat, mediterranean, ark of the covenant, ten commandments, treasure hunt, excavation, swastika, archaeologist, indiana jones, archeology ","18000000","Adventure, Action","en","When Dr. Indiana Jones вЂ“ the tweed-suited professor who just happens to be a celebrated archaeologist вЂ“ is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","Lucasfilm, Paramount Pictures","United States of America","115.0","Raiders of the Lost Ark","7.7"
"berlin, male nudity, female nudity, hippie, sexual obsession, free love, swinger club, nudist camp, based on novel, unsociability, cancer, teacher, scientist, male virgin, reproduction, sexual problems","6000000","Drama, Romance","de","Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.","MOOVIE - the art of entertainment GmbH, Medienfonds German Film Productions GmbH & Co. KG","Germany, Ireland","105.0","The Elementary Particles","6.4"
"riddle, treasure, heart, skeleton, treasure hunt, torture, violence, monkey, cult film, archaeologist, thuggee, conveyor belt, mine car, rope bridge, belching, child driving a car, eating brains, splits, indiana jones, archeology ","28000000","Adventure, Action","en","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees вЂ“ and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.","Lucasfilm, Paramount Pictures","United States of America","118.0","Indiana Jones and the Temple of Doom","7.1"
"dancing, sex, hotel, robbery, sister sister relationship, dancing master, mambo, dance performance, daughter, summer camp, secret love, teenage crush, doctor, class differences, youth, family holiday, sensuality, unwanted pregnancy, summer romance, abortion, catskill resort","6000000","Drama, Music, Romance","en","Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer вЂ“ and unexpectedly falling in love.","Great American Films Limited Partnership, Vestron Pictures","United States of America","100.0","Dirty Dancing","7.1"
"saving the world, venice, holy grail, library, riddle, father son relationship, whip, treasure, nazis, entrapment, crusader, treasure hunt, escape, panzer, order of the templars, archaeologist, indiana jones, archeology ","48000000","Adventure, Action","en","When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.","Lucasfilm, Paramount Pictures","United States of America","127.0","Indiana Jones and the Last Crusade","7.6"
"california, showdown, undercover, strip club, investigation, weapon, police, smuggling, swimming pool, gunfight, mansion, los angeles, foot chase, art gallery, car chase, warehouse, beverly hills, buddy comedy, country club, maverick cop, detroit michigan, damsel in distress, bar fight","15000000","Action, Comedy, Crime","en","Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.","Paramount Pictures, Eddie Murphy Productions","United States of America","105.0","Beverly Hills Cop","6.8"
"spain, river, suffering, work, misery, desolateness, remoteness, hygiene, village, teacher, incest, illness","20000","Documentary","es","Las Hurdes вЂ“ Tierra Sin Pan / Land Without Bread / Unpromised Land is a surrealist documentary filmed in Spain in 1932. It is the result of a two month trip through the Las Hurdes region. The film shows the contrasts between the village and the towns in the north of Extremadura, Salamanca and along the border of Portugal.","RamГіn AcГ­n","Spain","29.0","Land Without Bread","6.5"
"slum","0","Documentary","en","Megacities is a documentary about the slums of five different metropolitan cities.","Cinema Pictures","Austria","94.0","Megacities","7.0"
"rape, adultery, jealousy, michigan, judge, hays code, jazz, jurors, court case, lawyer","0","Crime, Drama, Mystery, Thriller","en","The film pits a humble small-town lawyer against a hard-headed big city prosecutor. Emotions flare as a jealous army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife.","Columbia Pictures","United States of America","160.0","Anatomy of a Murder","7.7"
"saving the world, paris, moon, cataclysm, asteroid, self sacrifice, nasa, space marine, loss of father, daughter, space, wedding, astronaut, eiffel tower paris, duringcreditsstinger, disaster movie, space centre","140000000","Action, Thriller, Science Fiction, Adventure","en","When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.","Jerry Bruckheimer Films, Touchstone Pictures, Valhalla Motion Pictures","United States of America","151.0","Armageddon","6.5"
"smuggling of arms, detective, intensive care, undercover, strip club, armored car, investigation, police, swimming pool, sequel, shootout, gunfight, los angeles, explosion, violence, car chase, detroit, horse track, beverly hills, buddy cop, oil field, cement truck, playboy mansion, shooting range","20000000","Action, Comedy, Crime","en","Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin вЂ“ and the chase is on.","Paramount Pictures, Eddie Murphy Productions, Don Simpson/Jerry Bruckheimer Films","United States of America","100.0","Beverly Hills Cop II","6.1"
"video game, hacker, virtual reality, dystopia, computer, science fiction","17000000","Science Fiction, Action, Adventure","en","As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP.","Walt Disney Pictures, Lisberger/Kushner","United States of America","96.0","Tron","6.6"
"rome, gladiator, arena, senate, roman empire, emperor, slavery, battlefield, blood, ancient world, father daughter relationship, combat, mother son relationship, dream sequence, chariot, philosopher, barbarian horde, 2nd century, successor","103000000","Action, Drama, Adventure","en","In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.","DreamWorks SKG, Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz","United Kingdom, United States of America","155.0","Gladiator","7.9"
